Equipo,Fecha de Inicio de Mantenimiento,Fecha de Término de Mantenimiento,Falla Identificada,Descripción de la Falla,Causa Raíz,Tiempo Estimado de Mantenimiento (hrs),Tiempo Real de Mantenimiento (hrs)
Tamices o Cribas,2154-04-24,2154-04-24 10:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Fatiga del material,12,10
Lavadoras de Pulpa,2154-06-08,2154-06-08 05:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Condiciones operativas extremas,6,5
Prensas,2154-07-13,2154-07-13 11:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Condiciones operativas extremas,12,11
Tamices o Cribas,2154-08-12,2154-08-12 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,4,2
Prensas,2154-09-16,2154-09-16 02:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Error humano,4,2
Bombas,2154-10-26,2154-10-26 22:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Fatiga del material,24,22
Prensas,2154-11-30,2154-12-01 00:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Condiciones operativas extremas,24,24
Tamices o Cribas,2154-12-30,2154-12-30 09:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Desgaste natural,8,9
Lavadoras de Pulpa,2155-02-13,2155-02-13 10:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,8,10
Refinadores,2155-04-04,2155-04-06 23:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Corrosión,72,71
Prensas,2155-05-09,2155-05-11 01:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Sobrecarga,48,49
Lavadoras de Pulpa,2155-06-23,2155-06-25 23:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Desgaste natural,72,71
Refinadores,2155-08-12,2155-08-12 22:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,24,22
Tamices o Cribas,2155-09-11,2155-09-14 01:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,72,73
Bombas,2155-10-21,2155-10-21 09:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Sobrecarga,8,9
Lavadoras de Pulpa,2155-12-05,2155-12-05 10:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,8,10
Digestores,2156-02-03,2156-02-06 00:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Fatiga del material,72,72
Prensas,2156-03-09,2156-03-09 08:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Error humano,6,8
Lavadoras de Pulpa,2156-04-23,2156-04-23 07:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Mantenimiento insuficiente,8,7
Digestores,2156-06-22,2156-06-25 02:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,72,74
Refinadores,2156-08-11,2156-08-12 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Sobrecarga,24,26
Bombas,2156-09-20,2156-09-21 22:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Corrosión,48,46
Digestores,2156-11-19,2156-11-19 05:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,4,5
Bombas,2156-12-29,2156-12-29 22:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Corrosión,24,22
Lavadoras de Pulpa,2157-02-12,2157-02-15 02:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,72,74
Prensas,2157-03-19,2157-03-19 08:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Mantenimiento insuficiente,8,8
Bombas,2157-04-28,2157-04-28 13:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Sobrecarga,12,13
Refinadores,2157-06-17,2157-06-17 09:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Fatiga del material,8,9
Digestores,2157-08-16,2157-08-16 23:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Fatiga del material,24,23
Lavadoras de Pulpa,2157-09-30,2157-10-02 02:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Mantenimiento insuficiente,48,50
Digestores,2157-11-29,2157-11-29 06:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Condiciones operativas extremas,8,6
Bombas,2158-01-08,2158-01-11 01:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Sobrecarga,72,73
Bombas,2158-02-17,2158-02-19 02:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Condiciones operativas extremas,48,50
Digestores,2158-04-18,2158-04-20 23:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Corrosión,72,71
Lavadoras de Pulpa,2158-06-02,2158-06-02 07:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,8,7
Bombas,2158-07-12,2158-07-12 04:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Error humano,4,4
Lavadoras de Pulpa,2158-08-26,2158-08-26 02:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,4,2
Refinadores,2158-10-15,2158-10-15 10:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Fatiga del material,12,10
Tamices o Cribas,2158-11-14,2158-11-14 22:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,24,22
Digestores,2159-01-13,2159-01-13 04:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Desgaste natural,4,4
Refinadores,2159-03-04,2159-03-04 03:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Falla mecánica,4,3
Tamices o Cribas,2159-04-03,2159-04-03 03:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Falla mecánica,4,3
Prensas,2159-05-08,2159-05-08 02:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Falla mecánica,4,2
Lavadoras de Pulpa,2159-06-22,2159-06-22 06:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,4,6
Digestores,2159-08-21,2159-08-23 01:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Condiciones operativas extremas,48,49
Refinadores,2159-10-10,2159-10-10 06:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,8,6
Digestores,2159-12-09,2159-12-09 22:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Condiciones operativas extremas,24,22
Digestores,2160-02-07,2160-02-07 07:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Desgaste natural,6,7
Refinadores,2160-03-28,2160-03-28 04:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Desgaste natural,4,4
Tamices o Cribas,2160-04-27,2160-04-27 07:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Sobrecarga,8,7
Digestores,2160-06-26,2160-06-26 08:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Condiciones operativas extremas,6,8
Refinadores,2160-08-15,2160-08-15 10:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Sobrecarga,8,10
Tamices o Cribas,2160-09-14,2160-09-14 02:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,4,2
Digestores,2160-11-13,2160-11-13 22:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Sobrecarga,24,22
Prensas,2160-12-18,2160-12-20 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Falla mecánica,48,50
Bombas,2161-01-27,2161-01-27 09:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Mantenimiento insuficiente,8,9
Tamices o Cribas,2161-02-26,2161-02-26 04:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Mantenimiento insuficiente,6,4
Refinadores,2161-04-17,2161-04-17 13:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,12,13
Lavadoras de Pulpa,2161-06-01,2161-06-03 00:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Fatiga del material,48,48
Digestores,2161-07-31,2161-08-03 00:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,72,72
Lavadoras de Pulpa,2161-09-14,2161-09-17 00:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,72,72
Tamices o Cribas,2161-10-14,2161-10-14 13:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,12,13
Digestores,2161-12-13,2161-12-13 14:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Desgaste natural,12,14
Tamices o Cribas,2162-01-12,2162-01-12 09:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Mantenimiento insuficiente,8,9
Digestores,2162-03-13,2162-03-13 06:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Falla mecánica,4,6
Digestores,2162-05-12,2162-05-13 00:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Condiciones operativas extremas,24,24
Digestores,2162-07-11,2162-07-11 04:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Falla mecánica,6,4
Tamices o Cribas,2162-08-10,2162-08-11 00:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,24,24
Lavadoras de Pulpa,2162-09-24,2162-09-27 01:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Falla mecánica,72,73
Digestores,2162-11-23,2162-11-23 12:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Sobrecarga,12,12
Bombas,2163-01-02,2163-01-02 14:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Sobrecarga,12,14
Lavadoras de Pulpa,2163-02-16,2163-02-16 04:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Error humano,6,4
Digestores,2163-04-17,2163-04-19 02:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Corrosión,48,50
Lavadoras de Pulpa,2163-06-01,2163-06-01 05:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,6,5
Prensas,2163-07-06,2163-07-07 22:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,48,46
Prensas,2163-08-10,2163-08-10 07:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,6,7
Digestores,2163-10-09,2163-10-09 06:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,8,6
Refinadores,2163-11-28,2163-11-28 08:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Falla mecánica,8,8
Lavadoras de Pulpa,2164-01-12,2164-01-12 04:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,4,4
Lavadoras de Pulpa,2164-02-26,2164-02-26 05:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Sobrecarga,6,5
Tamices o Cribas,2164-03-27,2164-03-30 00:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,72,72
Prensas,2164-05-01,2164-05-03 01:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,48,49
Tamices o Cribas,2164-05-31,2164-06-02 01:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Fatiga del material,48,49
Refinadores,2164-07-20,2164-07-20 12:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Corrosión,12,12
Lavadoras de Pulpa,2164-09-03,2164-09-03 23:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Mantenimiento insuficiente,24,23
Bombas,2164-10-13,2164-10-15 00:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Falla mecánica,48,48
Lavadoras de Pulpa,2164-11-27,2164-11-27 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Corrosión,4,2
Tamices o Cribas,2164-12-27,2164-12-27 09:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,8,9
Lavadoras de Pulpa,2165-02-10,2165-02-10 10:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,12,10
Tamices o Cribas,2165-03-12,2165-03-12 03:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,4,3
Prensas,2165-04-16,2165-04-16 08:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,8,8
Prensas,2165-05-21,2165-05-23 01:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Fatiga del material,48,49
Lavadoras de Pulpa,2165-07-05,2165-07-05 06:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Mantenimiento insuficiente,4,6
Refinadores,2165-08-24,2165-08-24 06:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Fatiga del material,4,6
Refinadores,2165-10-13,2165-10-13 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,4,2
Refinadores,2165-12-02,2165-12-02 03:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Mantenimiento insuficiente,4,3
Refinadores,2166-01-21,2166-01-21 23:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Condiciones operativas extremas,24,23
Bombas,2166-03-02,2166-03-02 03:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Falla mecánica,4,3
Lavadoras de Pulpa,2166-04-16,2166-04-17 23:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Fatiga del material,48,47
Tamices o Cribas,2166-05-16,2166-05-16 10:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,8,10
Digestores,2166-07-15,2166-07-18 01:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Fatiga del material,72,73
Prensas,2166-08-19,2166-08-19 04:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Condiciones operativas extremas,4,4
Lavadoras de Pulpa,2166-10-03,2166-10-03 10:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Fatiga del material,12,10
Tamices o Cribas,2166-11-02,2166-11-02 03:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,4,3
Lavadoras de Pulpa,2166-12-17,2166-12-17 22:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Condiciones operativas extremas,24,22
Prensas,2167-01-21,2167-01-24 01:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Corrosión,72,73
Digestores,2167-03-22,2167-03-24 02:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,48,50
Tamices o Cribas,2167-04-21,2167-04-21 06:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,6,6
Prensas,2167-05-26,2167-05-26 07:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Error humano,8,7
Digestores,2167-07-25,2167-07-25 05:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Error humano,6,5
Lavadoras de Pulpa,2167-09-08,2167-09-11 00:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Corrosión,72,72
Refinadores,2167-10-28,2167-10-31 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Corrosión,72,74
Bombas,2167-12-07,2167-12-07 04:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Corrosión,6,4
Tamices o Cribas,2168-01-06,2168-01-06 07:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Sobrecarga,8,7
Digestores,2168-03-06,2168-03-07 00:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,24,24
Digestores,2168-05-05,2168-05-05 05:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Condiciones operativas extremas,4,5
Refinadores,2168-06-24,2168-06-26 02:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Sobrecarga,48,50
Digestores,2168-08-23,2168-08-23 10:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Sobrecarga,8,10
Lavadoras de Pulpa,2168-10-07,2168-10-07 06:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,6,6
Tamices o Cribas,2168-11-06,2168-11-07 23:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Fatiga del material,48,47
Refinadores,2168-12-26,2168-12-26 12:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Error humano,12,12
Prensas,2169-01-30,2169-01-30 11:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Error humano,12,11
Lavadoras de Pulpa,2169-03-16,2169-03-18 00:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Fatiga del material,48,48
Lavadoras de Pulpa,2169-04-30,2169-05-01 01:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Error humano,24,25
Bombas,2169-06-09,2169-06-10 00:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Fatiga del material,24,24
Bombas,2169-07-19,2169-07-19 04:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Condiciones operativas extremas,4,4
Bombas,2169-08-28,2169-08-28 04:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Falla mecánica,6,4
Digestores,2169-10-27,2169-10-29 02:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Corrosión,48,50
Prensas,2169-12-01,2169-12-01 03:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Falla mecánica,4,3
Refinadores,2170-01-20,2170-01-20 06:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Desgaste natural,6,6
Prensas,2170-02-24,2170-02-24 12:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Falla mecánica,12,12
Tamices o Cribas,2170-03-26,2170-03-26 22:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Fatiga del material,24,22
Refinadores,2170-05-15,2170-05-15 12:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Desgaste natural,12,12
Lavadoras de Pulpa,2170-06-29,2170-06-29 06:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Fatiga del material,4,6
Prensas,2170-08-03,2170-08-03 07:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Corrosión,6,7
Digestores,2170-10-02,2170-10-05 02:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Mantenimiento insuficiente,72,74
Refinadores,2170-11-21,2170-11-21 04:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Desgaste natural,6,4
Lavadoras de Pulpa,2171-01-05,2171-01-07 22:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Corrosión,72,70
Digestores,2171-03-06,2171-03-06 22:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,24,22
Bombas,2171-04-15,2171-04-16 00:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Error humano,24,24
Bombas,2171-05-25,2171-05-27 02:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Error humano,48,50
Lavadoras de Pulpa,2171-07-09,2171-07-09 05:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Mantenimiento insuficiente,4,5
Tamices o Cribas,2171-08-08,2171-08-08 02:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Mantenimiento insuficiente,4,2
Prensas,2171-09-12,2171-09-13 02:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Falla mecánica,24,26
Bombas,2171-10-22,2171-10-25 02:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Corrosión,72,74
Digestores,2171-12-21,2171-12-21 23:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Mantenimiento insuficiente,24,23
Prensas,2172-01-25,2172-01-25 11:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Fatiga del material,12,11
Bombas,2172-03-05,2172-03-06 22:00:00,Cojinetes desgastados,Desgaste excesivo de los cojinetes que causa vibraciones,Corrosión,48,46
Bombas,2172-04-14,2172-04-16 00:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Sobrecarga,48,48
Lavadoras de Pulpa,2172-05-29,2172-05-30 23:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Fatiga del material,48,47
Lavadoras de Pulpa,2172-07-13,2172-07-13 12:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,12,12
Refinadores,2172-09-01,2172-09-01 03:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Mantenimiento insuficiente,4,3
Refinadores,2172-10-21,2172-10-23 00:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Error humano,48,48
Bombas,2172-11-30,2172-12-02 01:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Fatiga del material,48,49
Tamices o Cribas,2172-12-30,2172-12-30 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,4,2
Bombas,2173-02-08,2173-02-08 08:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Fatiga del material,8,8
Lavadoras de Pulpa,2173-03-25,2173-03-27 23:00:00,Rodillos desgastados,Rodillos muestran desgaste que afecta el rendimiento,Error humano,72,71
Digestores,2173-05-24,2173-05-24 05:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Condiciones operativas extremas,6,5
Tamices o Cribas,2173-06-23,2173-06-24 22:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Fatiga del material,48,46
Lavadoras de Pulpa,2173-08-07,2173-08-10 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Desgaste natural,72,74
Digestores,2173-10-06,2173-10-07 02:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Error humano,24,26
Lavadoras de Pulpa,2173-11-20,2173-11-23 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,72,74
Prensas,2173-12-25,2173-12-25 04:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Desgaste natural,4,4
Lavadoras de Pulpa,2174-02-08,2174-02-11 02:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Falla mecánica,72,74
Digestores,2174-04-09,2174-04-10 22:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Fatiga del material,48,46
Tamices o Cribas,2174-05-09,2174-05-09 10:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Sobrecarga,8,10
Tamices o Cribas,2174-06-08,2174-06-09 02:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,24,26
Tamices o Cribas,2174-07-08,2174-07-08 07:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Fatiga del material,6,7
Digestores,2174-09-06,2174-09-06 10:00:00,Fuga en sensor de presión,Pérdida de presión detectada por fuga en sensor,Sobrecarga,12,10
Digestores,2174-11-05,2174-11-05 02:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Sobrecarga,4,2
Tamices o Cribas,2174-12-05,2174-12-05 06:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Desgaste natural,8,6
Bombas,2175-01-14,2175-01-14 08:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Condiciones operativas extremas,8,8
Lavadoras de Pulpa,2175-02-28,2175-03-01 00:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Sobrecarga,24,24
Tamices o Cribas,2175-03-30,2175-03-31 22:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Condiciones operativas extremas,48,46
Lavadoras de Pulpa,2175-05-14,2175-05-14 07:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Mantenimiento insuficiente,6,7
Digestores,2175-07-13,2175-07-13 13:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Desgaste natural,12,13
Digestores,2175-09-11,2175-09-11 23:00:00,Obstrucción parcial en válvulas,Reducción del flujo por acumulación de residuos,Corrosión,24,23
Lavadoras de Pulpa,2175-10-26,2175-10-27 01:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Error humano,24,25
Prensas,2175-11-30,2175-11-30 08:00:00,Fuga en rodillo inferior,Fuga de líquido en el rodillo inferior,Desgaste natural,6,8
Tamices o Cribas,2175-12-30,2175-12-30 08:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Falla mecánica,8,8
Bombas,2176-02-08,2176-02-08 13:00:00,Cavitación,Cavitación que provoca daños en el impulsor,Error humano,12,13
Tamices o Cribas,2176-03-09,2176-03-12 00:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Error humano,72,72
Tamices o Cribas,2176-04-08,2176-04-08 07:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Corrosión,8,7
Bombas,2176-05-18,2176-05-18 05:00:00,Fuga en sello mecánico,Fugas detectadas en los sellos mecánicos,Condiciones operativas extremas,4,5
Refinadores,2176-07-07,2176-07-07 22:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Corrosión,24,22
Refinadores,2176-08-26,2176-08-26 03:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Corrosión,4,3
Lavadoras de Pulpa,2176-10-10,2176-10-10 23:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Error humano,24,23
Refinadores,2176-11-29,2176-11-29 10:00:00,Desgaste significativo,Desgaste avanzado en cuchillas que afecta la calidad del refinado,Sobrecarga,8,10
Tamices o Cribas,2176-12-29,2176-12-29 14:00:00,Obstrucción completa,Material acumulado que detiene el flujo completamente,Condiciones operativas extremas,12,14
Tamices o Cribas,2177-01-28,2177-01-28 10:00:00,Mallas desgastadas,Desgaste de mallas que compromete la eficiencia de separación,Error humano,12,10
Refinadores,2177-03-19,2177-03-19 23:00:00,Desbalanceo en discos,Vibración excesiva por desbalanceo en discos,Condiciones operativas extremas,24,23
Digestores,2177-05-18,2177-05-21 00:00:00,Corrosión en las paredes internas,Desgaste interno significativo por agentes corrosivos,Mantenimiento insuficiente,72,72
Prensas,2177-06-22,2177-06-22 07:00:00,Baja presión en salida,Presión insuficiente detectada en la salida,Condiciones operativas extremas,6,7
Lavadoras de Pulpa,2177-08-06,2177-08-06 23:00:00,Filtro obstruido,Acumulación de fibras en el filtro que bloquea el flujo,Fatiga del material,24,23
